Range,Standard?,Peak,Route,Difficulty,Snow Route,RT in Miles,Total Gain,Grade,Risk Factor (Exposure),Risk Factor (Rockfall),Risk Factor (Route-Finding),Risk Factor (Commitment),Road Type (0-5),Link
Front,Standard,Grays Peak,North Slopes,Class 1,,7.50,3000,15.15,Low,Low,Low,Low,2,https://www.14ers.com/route.php?route=gray1
Front,Standard,Torreys Peak,South Slopes,Class 1,,7.75,3000,14.66,Low,Low,Low,Low,2,https://www.14ers.com/route.php?route=torr2
Front,Standard,Grays Peak,Grays and Torreys,Class 1,,8.25,3600,16.53,Low,Low,Low,Moderate,2,https://www.14ers.com/route.php?route=torr5
Front,Standard,Pikes Peak,East Slopes,Class 1,,24.00,7600,11.99,Low,Low,Low,Moderate,0,https://www.14ers.com/route.php?route=pikeeast
Front,Standard,Mt. Evans,West Ridge from Summit Lake,Class 2,,5.50,2000,13.77,Moderate,Moderate,Moderate,Moderate,0,https://www.14ers.com/route.php?route=evan2
Front,Standard,Mt. Bierstadt,West Slopes,Class 2,,7.25,2850,14.89,Low,Moderate,Low,Low,0,https://www.14ers.com/route.php?route=bier1
Front,Standard,Mt. Bierstadt,Bierstadt+Sawtooth+Evans,Class 3,,10.25,3900,14.41,Considerable,Considerable,Considerable,High,0,https://www.14ers.com/route.php?route=bier4
Front,Standard,Longs Peak,Keyhole Route,Class 3,,14.50,5100,13.32,High,Considerable,Considerable,High,0,https://www.14ers.com/route.php?route=long1
Tenmile,Standard,Quandary Peak,East Ridge,Class 1,,6.75,3450,19.36,Low,Low,Low,Low,1,https://www.14ers.com/route.php?route=quan1
Mosquito,Standard,Mt. Bross,West Slopes,Class 2,,3.25,2250,26.22,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=bros2
Mosquito,Standard,Mt. Democrat,East Slope,Class 2,,4.00,2150,20.36,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=demo1
Mosquito,Standard,Mt. Cameron,West Ridge,Class 2,,4.75,2250,17.94,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=came1
Mosquito,Standard,Mt. Sherman,Southwest Ridge,Class 2,,5.25,2100,15.15,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=sher1
Mosquito,Standard,Mt. Lincoln,West Ridge,Class 2,,6.00,2600,16.41,Moderate,Moderate,Low,Low,2,https://www.14ers.com/route.php?route=linc1
Mosquito,Standard,Mt. Lincoln,Democrat+Cameron+Lincoln+Bross,Class 2,,7.50,3700,18.69,Moderate,Moderate,Low,Moderate,2,https://www.14ers.com/route.php?route=bros6
Sawatch,Standard,Mt. Elbert,Northeast Ridge,Class 1,,9.75,4500,17.48,Low,Low,Low,Low,1,https://www.14ers.com/route.php?route=elbe1
Sawatch,Standard,Mt. Princeton,East Slopes,Class 2,,6.50,3200,18.65,Moderate,Moderate,Low,Moderate,3,https://www.14ers.com/route.php?route=prin1
Sawatch,Standard,Huron Peak,Northwest Slopes,Class 2,,7.00,3500,18.94,Moderate,Moderate,Low,Low,3,https://www.14ers.com/route.php?route=huro1
Sawatch,Standard,Mt. Belford,Northwest Ridge,Class 2,,8.00,4500,21.31,Low,Moderate,Low,Moderate,1,https://www.14ers.com/route.php?route=belf1
